date,author,text,likes,video_id,group,topic,text_clean
2025-11-05T07:21:42Z,@sandina8581,"Why would anyone do this to their bodies? My God! I wouldn't take it even if someone would offer me money. This drug is definitely unhealthy. You have no idea what it does to your body long therm. Losing weight is easier than people might think. Patience and discipline is the key. If you just eat at regular hours, 3 meals a day without skipping any and you cut a bit of kcal you eat a day, you are guaranteed to lose weight! Intermittent fasting (8/16) and a 8k-10k walk a day does miracles. Listen to your body and not your mind. It will guide you. Eat organic food and less processed food and you will see amazing results!",1,6u4TbqFZjO8,glp1,What’s it like taking Ozempic? Patients share their stories,"why would anyone do this to their bodies? my god! i wouldn't take it even if someone would offer me money. this drug is definitely unhealthy. you have no idea what it does to your body long therm. losing weight is easier than people might think. patience and discipline is the key. if you just eat at regular hours, 3 meals a day without skipping any and you cut a bit of kcal you eat a day, you are guaranteed to lose weight! intermittent fasting (8/16) and a 8k-10k walk a day does miracles. listen to your body and not your mind. it will guide you. eat organic food and less processed food and you will see amazing results!"
2025-11-01T02:30:15Z,@54lex,"I just started on ozempic for my type 2 diabetes been three weeks now but I’m the opposite side effects that everyone else gets.  The first thing I noticed was complete focus , mental clarity, loss of anxiety and more energy. Something my testosterone injections should be doing. 
I loved it but then started getting blurry vision and light headed most of the time. Then instead of loss of appetite, my appetite increased with a huge craving for protein. I saw my doctor temporarily took me off it and slapped a dexcom7? Glucose patch to monitor my blood sugar which has been all over the place so far. My bloodwork just back and everything  is within normal limits except my A1C is 6.4  so I go back in 14 days to evaluate everything. 
I don’t want to get off of the ozempic I’m 64,and love the new mental clarity, energy and focus.. it gives me. 
My performance scores at work have shot thru the roof. I’m scared now. 
I will be permanently taken off off of it. 
I hope this helps . Am I a freak of nature?  Thanks for letting me share. I feel no one is listening.",0,6u4TbqFZjO8,glp1,What’s it like taking Ozempic? Patients share their stories,"i just started on ozempic for my type 2 diabetes been three weeks now but i’m the opposite side effects that everyone else gets.  the first thing i noticed was complete focus , mental clarity, loss of anxiety and more energy. something my testosterone injections should be doing. 
i loved it but then started getting blurry vision and light headed most of the time. then instead of loss of appetite, my appetite increased with a huge craving for protein. i saw my doctor temporarily took me off it and slapped a dexcom7? glucose patch to monitor my blood sugar which has been all over the place so far. my bloodwork just back and everything  is within normal limits except my a1c is 6.4  so i go back in 14 days to evaluate everything. 
i don’t want to get off of the ozempic i’m 64,and love the new mental clarity, energy and focus.. it gives me. 
my performance scores at work have shot thru the roof. i’m scared now. 
i will be permanently taken off off of it. 
i hope this helps . am i a freak of nature?  thanks for letting me share. i feel no one is listening."
2025-09-10T02:20:17Z,@EdwardJackson-u9z,"These people never really learned to change their lifestyle. They dependent on the drug to do everything.
They should’ve worked with it, making eating less a lifelong thing and exercise",0,6u4TbqFZjO8,glp1,What’s it like taking Ozempic? Patients share their stories,"these people never really learned to change their lifestyle. they dependent on the drug to do everything.
they should’ve worked with it, making eating less a lifelong thing and exercise"
2025-09-08T04:49:52Z,@dianelittle3040,They want you to keep buying it. There are several on the market. Everyone I know were sick.,0,6u4TbqFZjO8,glp1,What’s it like taking Ozempic? Patients share their stories,they want you to keep buying it. there are several on the market. everyone i know were sick.
2025-07-27T20:38:05Z,@JacobitoBello27,"Looks like when taking ozempic, you also need to change your way of life and dont put everything on ezempic to do the job.",0,6u4TbqFZjO8,glp1,What’s it like taking Ozempic? Patients share their stories,"looks like when taking ozempic, you also need to change your way of life and dont put everything on ezempic to do the job."
2025-07-19T05:20:53Z,@57ferreira,She have to take care of bacteria about eat write  bacterias food,0,6u4TbqFZjO8,glp1,What’s it like taking Ozempic? Patients share their stories,she have to take care of bacteria about eat write  bacterias food
2025-07-01T16:50:12Z,@leechjim8023,Medically induced anorexia!!😮,0,6u4TbqFZjO8,glp1,What’s it like taking Ozempic? Patients share their stories,medically induced anorexia!!😮
2025-06-17T12:58:16Z,@geraldinevickers-k6m,".25mg, 3rd week in, 12 lbs down. i am focusing on protein, healthy fats and smaller portions. don't forget to move!! no nausea but some heartburn.",0,6u4TbqFZjO8,glp1,What’s it like taking Ozempic? Patients share their stories,".25mg, 3rd week in, 12 lbs down. i am focusing on protein, healthy fats and smaller portions. don't forget to move!! no nausea but some heartburn."
2025-05-07T19:08:43Z,@sharonvincent2299,Their approach was wrong. They didn't change their relationship with food. You have to develop better food decisions,0,6u4TbqFZjO8,glp1,What’s it like taking Ozempic? Patients share their stories,their approach was wrong. they didn't change their relationship with food. you have to develop better food decisions
2025-03-27T15:16:51Z,@timdonahue2897,God forbid somebody learns to eat right and show self control instead of relying on a drug,0,6u4TbqFZjO8,glp1,What’s it like taking Ozempic? Patients share their stories,god forbid somebody learns to eat right and show self control instead of relying on a drug
